task_type,domain,input_language,privacy_requirement,hardware_available,hallucination_tolerance,determinism_needed,temperature_pref,output_style,best_model,score_GPT-4o,score_Gemini,score_Claude-2,score_Llama-3-70B,score_Deepseek
summarization,general,pt,cloud,edge,low,1,medium,creative,Gemini,2.03,3.497,-0.447,-0.245,2.67
extraction,technical,en,cloud,edge,medium,0,low,precise,Deepseek,0.107,0.868,0.944,2.211,4.674
classification,medical,multi,cloud,cpu,high,1,high,formal,Llama-3-70B,0.137,1.586,3.767,4.487,0.755
extraction,legal,pt,cloud,cpu,high,0,medium,creative,Deepseek,1.113,1.991,0.017,4.133,4.972
summarization,technical,multi,cloud,cpu,low,1,low,factual,Gemini,2.062,4.095,2.47,1.685,0.108
extraction,legal,multi,cloud,pro_gpu,low,1,high,formal,Claude-2,0.213,3.237,3.556,2.573,1.703
classification,legal,en,cloud,pro_gpu,high,1,medium,creative,Claude-2,1.668,3.149,4.962,3.464,2.179
extraction,ecommerce,pt,cloud,edge,low,0,high,formal,Deepseek,-0.301,1.341,-0.828,1.143,3.876
generation,general,pt,cloud,pro_gpu,low,1,high,formal,Gemini,0.617,4.099,0.714,0.26,2.037
reasoning,legal,multi,cloud,cpu,high,1,low,creative,Claude-2,3.372,1.834,3.596,2.629,1.959
reasoning,general,pt,cloud,edge,high,1,medium,factual,Deepseek,1.976,0.608,1.168,-0.074,2.23
summarization,legal,pt,local,consumer_gpu,medium,0,low,creative,Deepseek,1.557,2.604,-0.936,3.534,4.001
extraction,legal,multi,cloud,edge,high,1,medium,factual,Deepseek,-0.036,1.765,2.236,2.786,3.205
classification,ecommerce,pt,cloud,edge,low,1,high,formal,Deepseek,-0.617,1.066,1.751,1.41,1.862
reasoning,technical,multi,cloud,cpu,low,0,high,factual,Claude-2,1.306,1.921,4.308,1.355,-0.204
reasoning,legal,pt,local,cpu,high,1,medium,formal,Llama-3-70B,0.264,-0.302,0.037,4.465,4.345
reasoning,medical,en,local,pro_gpu,medium,0,low,creative,Deepseek,1.704,0.305,2.761,3.633,4.089
extraction,legal,pt,local,consumer_gpu,low,0,low,factual,Llama-3-70B,-1.3,2.1,0.544,4.848,4.646
extraction,ecommerce,en,cloud,pro_gpu,medium,0,low,precise,Deepseek,1.094,1.334,1.454,2.585,2.983
summarization,general,pt,local,pro_gpu,medium,0,low,factual,Deepseek,0.97,1.635,-2.009,2.766,3.093
extraction,finance,pt,hybrid,cpu,high,1,low,factual,Deepseek,0.39,2.763,1.023,5.436,5.661
generation,legal,en,local,consumer_gpu,medium,0,medium,formal,Deepseek,-0.883,2.418,0.551,3.452,5.502
classification,technical,multi,cloud,cpu,medium,1,medium,formal,Llama-3-70B,0.135,0.167,2.242,3.601,0.097
generation,legal,en,local,pro_gpu,high,0,high,formal,Deepseek,-1.278,2.18,0.257,3.532,5.321
classification,finance,multi,cloud,edge,high,1,medium,precise,Claude-2,0.103,2.207,3.806,2.631,1.662
classification,technical,en,local,cpu,medium,1,high,formal,Llama-3-70B,-1.999,-1.716,0.029,5.82,3.547
extraction,legal,multi,hybrid,consumer_gpu,low,0,medium,creative,Llama-3-70B,0.841,3.423,3.475,3.72,2.763
reasoning,ecommerce,en,cloud,pro_gpu,low,1,medium,formal,Claude-2,2.42,2.054,3.991,0.537,0.366
classification,ecommerce,pt,local,consumer_gpu,low,0,medium,precise,Llama-3-70B,-1.266,0.465,1.298,4.736,2.596
summarization,technical,pt,cloud,consumer_gpu,low,1,high,creative,Gemini,3.159,3.894,0.707,0.215,1.006
reasoning,finance,pt,hybrid,consumer_gpu,medium,1,high,creative,GPT-4o,3.62,2.748,3.076,2.106,2.938
classification,finance,multi,cloud,cpu,medium,1,high,formal,Llama-3-70B,0.077,1.558,3.896,4.026,1.122
classification,ecommerce,en,local,cpu,high,1,low,creative,Llama-3-70B,-0.634,-1.282,0.407,6.07,4.513
reasoning,medical,en,local,consumer_gpu,low,0,high,formal,Claude-2,0.395,1.599,3.759,2.779,2.927
summarization,medical,pt,cloud,consumer_gpu,high,0,high,formal,Gemini,2.97,4.221,1.118,1.355,1.461
generation,medical,en,cloud,consumer_gpu,low,0,medium,precise,Gemini,0.41,6.042,4.199,0.957,2.926
reasoning,finance,multi,cloud,cpu,high,1,medium,precise,Claude-2,2.054,2.464,4.731,2.328,0.999
classification,legal,en,cloud,consumer_gpu,low,1,low,creative,Claude-2,1.222,3.832,5.581,3.005,1.852
summarization,medical,pt,local,consumer_gpu,low,0,medium,factual,Gemini,0.738,4.39,0.749,2.693,2.961
extraction,legal,en,cloud,consumer_gpu,high,0,medium,formal,Deepseek,1.06,2.535,2.131,3.322,3.487
classification,general,pt,local,consumer_gpu,medium,1,high,precise,Llama-3-70B,-0.893,-0.739,0.168,5.029,3.17
generation,finance,multi,local,consumer_gpu,high,1,medium,precise,Deepseek,-0.861,3.317,1.04,3.118,3.921
extraction,legal,en,cloud,consumer_gpu,medium,1,medium,creative,Deepseek,1.9,2.779,2.642,3.586,4.276
summarization,medical,en,cloud,cpu,low,1,low,formal,Gemini,1.889,4.974,3.334,1.911,2.423
summarization,legal,pt,cloud,edge,high,0,medium,precise,Gemini,1.936,4.465,0.419,0.617,2.853
generation,legal,pt,cloud,cpu,medium,1,low,precise,Gemini,0.217,4.744,1.402,2.431,4.3
reasoning,ecommerce,pt,cloud,cpu,low,1,medium,formal,Claude-2,1.682,1.183,1.81,1.49,1.288
reasoning,medical,pt,cloud,pro_gpu,high,1,high,precise,Claude-2,3.371,3.245,3.631,1.178,1.447
reasoning,medical,multi,local,pro_gpu,high,1,medium,creative,Llama-3-70B,1.633,0.692,2.592,3.264,2.734
reasoning,general,pt,local,cpu,low,1,high,formal,Llama-3-70B,-0.166,-0.494,-0.122,3.452,3.312
reasoning,medical,pt,cloud,consumer_gpu,low,0,medium,formal,Gemini,2.578,3.75,3.733,0.93,0.845
classification,general,multi,local,consumer_gpu,low,1,low,factual,Llama-3-70B,-1.124,1.246,2.881,4.322,1.218
generation,ecommerce,multi,cloud,cpu,high,1,medium,formal,Gemini,0.383,2.308,0.286,1.744,2.044
reasoning,medical,en,cloud,consumer_gpu,medium,1,medium,creative,Claude-2,3.803,2.333,4.937,1.614,2.084
summarization,technical,en,local,consumer_gpu,medium,1,low,factual,Llama-3-70B,1.178,1.981,-0.048,3.523,3.337
reasoning,legal,multi,cloud,cpu,medium,1,high,precise,Claude-2,2.054,2.778,4.41,2.454,0.678
classification,ecommerce,en,cloud,consumer_gpu,medium,1,low,factual,Llama-3-70B,1.373,2.062,3.622,3.703,1.558
extraction,legal,pt,cloud,consumer_gpu,high,1,low,precise,Deepseek,1.221,3.28,2.07,3.817,3.871
extraction,medical,en,cloud,consumer_gpu,low,0,low,precise,Claude-2,0.538,4.301,4.489,3.114,2.79
generation,technical,multi,cloud,consumer_gpu,medium,1,low,factual,Gemini,1.573,4.328,2.63,1.075,1.849
summarization,general,pt,local,consumer_gpu,low,1,high,factual,Llama-3-70B,0.084,2.811,-0.91,2.885,2.345
extraction,finance,en,local,consumer_gpu,high,0,medium,creative,Deepseek,-0.638,0.406,0.105,5.65,5.787
generation,legal,multi,cloud,consumer_gpu,high,0,medium,formal,Gemini,1.006,4.084,2.436,1.829,2.072
classification,medical,en,cloud,edge,medium,0,medium,precise,Claude-2,-0.173,2.194,4.204,2.595,2.727
extraction,technical,pt,cloud,pro_gpu,low,0,high,formal,Deepseek,0.619,1.459,0.374,2.402,2.627
extraction,medical,en,local,consumer_gpu,medium,1,high,precise,Llama-3-70B,-0.995,0.919,1.003,5.54,5.484
classification,ecommerce,multi,cloud,cpu,low,1,medium,factual,Claude-2,-0.416,1.804,4.039,3.196,-0.218
reasoning,medical,pt,cloud,cpu,low,0,high,creative,GPT-4o,2.834,2.415,2.83,1.957,2.364
reasoning,finance,pt,cloud,cpu,low,1,medium,precise,Claude-2,1.636,3.244,3.848,2.12,1.96
generation,legal,en,hybrid,consumer_gpu,medium,0,high,precise,Gemini,1.172,4.917,2.97,1.732,4.138
classification,technical,pt,cloud,pro_gpu,low,0,medium,formal,Llama-3-70B,0.691,2.103,2.456,2.496,0.362
summarization,legal,pt,cloud,pro_gpu,low,0,low,factual,Gemini,2.541,6.353,2.377,1.06,1.186
reasoning,general,pt,cloud,pro_gpu,high,0,medium,creative,GPT-4o,3.617,1.14,2.063,0.979,1.779
generation,general,pt,cloud,cpu,low,0,high,formal,Gemini,-0.448,3.236,-0.208,1.339,3.096
extraction,legal,pt,local,cpu,low,1,high,precise,Llama-3-70B,-2.259,1.692,-0.01,5.992,5.753
generation,legal,multi,local,consumer_gpu,high,0,low,creative,Deepseek,-0.15,2.556,0.31,3.564,4.502
extraction,legal,multi,cloud,consumer_gpu,high,0,high,creative,Llama-3-70B,1.573,2.538,2.559,3.262,2.911
summarization,ecommerce,multi,cloud,consumer_gpu,low,1,high,creative,Gemini,3.314,3.859,1.692,0.471,-0.389
summarization,medical,en,cloud,consumer_gpu,medium,0,medium,creative,Gemini,3.723,4.427,2.099,1.422,2.139
reasoning,general,multi,cloud,pro_gpu,high,1,high,creative,GPT-4o,3.827,0.86,3.336,0.618,0.462
classification,medical,en,cloud,consumer_gpu,high,1,high,factual,Claude-2,0.955,3.372,5.216,3.728,1.423
summarization,ecommerce,en,cloud,pro_gpu,low,0,medium,precise,Gemini,2.28,4.984,2.677,0.544,0.747
summarization,general,multi,cloud,cpu,medium,0,low,formal,Gemini,1.994,2.319,0.082,1.774,0.314
reasoning,finance,multi,cloud,cpu,low,0,medium,formal,Claude-2,1.4,2.544,4.97,1.977,0.287
generation,legal,multi,local,consumer_gpu,low,1,high,factual,Gemini,-1.451,4.141,2.471,2.96,3.546
generation,technical,multi,cloud,pro_gpu,high,1,medium,factual,Gemini,1.229,3.545,2.012,0.694,1.826
extraction,finance,en,cloud,cpu,medium,0,low,precise,Llama-3-70B,0.125,2.351,2.022,4.209,4.092
reasoning,finance,pt,local,cpu,low,0,low,factual,Deepseek,-0.422,1.373,2.092,3.842,3.862
classification,legal,en,local,consumer_gpu,medium,0,low,factual,Llama-3-70B,-1.219,1.024,3.56,5.353,3.831
reasoning,legal,en,local,consumer_gpu,medium,1,high,creative,Deepseek,1.651,0.5,2.714,3.754,4.178
classification,finance,pt,cloud,consumer_gpu,medium,1,medium,creative,Llama-3-70B,1.622,2.489,3.068,3.678,2.201
classification,legal,multi,local,pro_gpu,high,0,medium,factual,Llama-3-70B,-0.876,1.528,3.276,5.562,1.696
summarization,medical,multi,cloud,pro_gpu,high,1,high,factual,Gemini,2.474,5.278,3.181,1.397,0.049
reasoning,ecommerce,pt,cloud,consumer_gpu,medium,1,high,precise,GPT-4o,2.988,1.926,2.217,0.851,1.198
generation,medical,pt,cloud,cpu,medium,1,high,creative,Deepseek,0.857,3.805,0.105,2.17,5.017
generation,finance,pt,cloud,edge,medium,1,low,formal,Deepseek,0.303,3.896,0.246,0.433,5.213
summarization,legal,multi,cloud,cpu,high,0,medium,creative,Gemini,3.059,3.641,1.651,2.497,1.358
generation,legal,pt,cloud,cpu,high,1,high,factual,Gemini,-0.109,4.368,0.803,2.107,4.265
generation,general,multi,cloud,cpu,medium,1,high,factual,Gemini,0.298,2.898,0.961,2.163,2.231
generation,ecommerce,pt,local,cpu,high,0,medium,factual,Deepseek,-1.744,0.798,-2.769,3.683,5.704
extraction,technical,en,cloud,consumer_gpu,medium,0,medium,creative,Deepseek,1.772,1.47,0.857,2.917,3.687
extraction,legal,en,cloud,consumer_gpu,high,1,low,creative,Deepseek,2.079,2.853,3.057,3.315,4.023
extraction,general,multi,cloud,cpu,high,1,medium,formal,Llama-3-70B,0.101,0.419,-0.113,3.198,2.414
generation,general,multi,local,consumer_gpu,medium,1,high,precise,Deepseek,-0.951,1.482,-0.497,2.806,3.522
summarization,finance,en,cloud,consumer_gpu,high,0,low,formal,Gemini,2.875,4.599,1.929,1.329,1.275
extraction,finance,pt,local,pro_gpu,medium,1,high,factual,Deepseek,-1.051,1.092,-0.14,5.128,5.509
extraction,technical,multi,cloud,cpu,medium,0,low,formal,Llama-3-70B,0.312,0.571,0.104,3.865,1.939
generation,finance,en,cloud,pro_gpu,low,0,medium,precise,Gemini,0.022,6.369,4.199,1.236,2.725
generation,technical,pt,cloud,consumer_gpu,medium,0,low,formal,Gemini,1.104,3.374,-0.416,1.055,3.002
summarization,general,pt,local,consumer_gpu,medium,1,medium,creative,Deepseek,1.386,1.271,-2.622,3.101,3.387
summarization,legal,en,cloud,consumer_gpu,medium,0,high,creative,Gemini,3.464,4.787,2.431,1.791,2.184
reasoning,general,pt,hybrid,cpu,high,1,low,factual,Llama-3-70B,2.132,1.378,1.582,3.04,2.905
generation,technical,multi,hybrid,consumer_gpu,high,0,low,creative,Gemini,1.391,3.033,1.439,1.899,2.988
extraction,technical,multi,hybrid,consumer_gpu,high,1,medium,creative,Llama-3-70B,1.915,1.042,1.042,3.582,3.047
summarization,ecommerce,pt,local,consumer_gpu,high,1,high,formal,Llama-3-70B,1.207,0.833,-2.215,2.982,2.822
reasoning,legal,pt,cloud,cpu,medium,1,medium,precise,Claude-2,2.4,2.343,3.052,2.242,2.288
extraction,general,en,cloud,consumer_gpu,low,1,high,factual,Gemini,0.599,2.758,2.301,2.276,2.686
reasoning,technical,pt,hybrid,pro_gpu,low,1,medium,precise,Claude-2,2.474,2.595,2.928,1.084,0.896
generation,general,multi,hybrid,consumer_gpu,high,0,high,formal,Gemini,0.98,2.88,0.807,1.786,2.373
generation,ecommerce,en,cloud,edge,medium,0,high,formal,Deepseek,0.419,1.698,0.232,0.195,4.344
reasoning,finance,pt,hybrid,consumer_gpu,medium,1,low,formal,GPT-4o,3.341,2.708,3.337,2.902,2.721
generation,legal,pt,hybrid,consumer_gpu,high,1,low,precise,Gemini,1.402,5.414,1.703,2.558,4.841
classification,finance,en,local,edge,medium,1,low,formal,Deepseek,-2.005,-0.411,1.825,4.603,5.141
generation,ecommerce,pt,cloud,consumer_gpu,high,1,medium,creative,Deepseek,1.615,2.727,-0.695,1.141,3.439
classification,technical,multi,cloud,consumer_gpu,high,0,low,factual,Claude-2,0.68,1.574,3.846,2.961,-0.593
summarization,technical,en,cloud,cpu,low,0,high,formal,Gemini,1.709,2.851,1.299,1.377,1.218
extraction,technical,en,local,consumer_gpu,medium,0,medium,formal,Llama-3-70B,-0.799,-1.225,-0.774,5.031,4.933
extraction,medical,en,cloud,consumer_gpu,low,1,medium,formal,Claude-2,0.496,3.479,3.744,2.785,2.847
classification,general,multi,local,consumer_gpu,low,1,low,precise,Llama-3-70B,-0.993,0.881,3.18,5.14,1.22
summarization,general,en,local,consumer_gpu,low,0,medium,formal,Deepseek,0.636,1.769,0.151,2.54,2.595
extraction,general,pt,local,consumer_gpu,medium,1,low,formal,Deepseek,-0.829,-1.032,-2.099,4.887,5.237
summarization,legal,en,cloud,consumer_gpu,low,1,low,formal,Gemini,2.988,5.838,4.19,1.505,1.169
generation,technical,multi,cloud,cpu,low,0,medium,precise,Gemini,-0.295,3.891,1.584,1.112,1.688
summarization,ecommerce,en,hybrid,consumer_gpu,high,1,low,creative,GPT-4o,3.593,3.309,1.25,1.765,2.881
reasoning,legal,en,hybrid,consumer_gpu,low,1,high,factual,Claude-2,2.643,4.245,6.135,1.918,1.936
extraction,medical,pt,cloud,cpu,medium,0,medium,precise,Llama-3-70B,0.261,2.235,0.955,4.539,4.181
extraction,technical,multi,local,pro_gpu,low,1,high,factual,Llama-3-70B,-1.08,0.595,0.706,4.366,3.045
generation,finance,multi,cloud,edge,high,0,high,formal,Deepseek,-0.348,3.391,1.282,0.527,3.699
generation,legal,multi,cloud,consumer_gpu,medium,0,low,precise,Gemini,1.129,4.726,3.608,1.559,1.845
extraction,finance,pt,cloud,consumer_gpu,low,1,medium,precise,Gemini,0.531,4.235,2.567,3.04,2.879
reasoning,medical,en,local,pro_gpu,medium,1,medium,formal,Deepseek,0.919,0.363,2.213,3.529,3.617
generation,technical,en,local,cpu,high,1,low,formal,Deepseek,-1.397,0.664,-1.435,3.993,6.268
summarization,general,pt,cloud,consumer_gpu,low,1,medium,creative,Gemini,2.928,3.82,0.307,0.716,1.389
reasoning,general,en,cloud,pro_gpu,medium,1,medium,creative,GPT-4o,3.797,1.214,2.824,1.07,1.675
summarization,general,en,cloud,pro_gpu,low,0,high,precise,Gemini,2.669,4.677,2.623,0.608,0.675
extraction,technical,multi,cloud,edge,low,0,medium,creative,Deepseek,0.066,0.988,0.788,1.0,3.24
summarization,finance,multi,cloud,consumer_gpu,medium,0,medium,precise,Gemini,3.122,5.252,2.81,1.43,-0.444
extraction,general,en,cloud,cpu,high,1,medium,precise,Llama-3-70B,0.474,0.683,1.151,3.989,3.62
extraction,technical,pt,cloud,cpu,high,1,medium,formal,Llama-3-70B,-0.027,0.27,-1.469,3.82,3.703
summarization,general,multi,cloud,pro_gpu,high,0,high,factual,Gemini,2.644,3.254,1.745,0.888,-0.611
classification,finance,en,cloud,edge,medium,0,low,formal,Claude-2,0.139,1.735,3.445,2.432,3.1
summarization,finance,en,cloud,pro_gpu,high,0,low,precise,Gemini,2.729,5.245,3.31,1.636,1.113
reasoning,finance,multi,local,consumer_gpu,high,0,medium,creative,Llama-3-70B,1.548,0.324,2.52,3.596,2.999
generation,ecommerce,pt,cloud,pro_gpu,medium,1,high,factual,Gemini,0.901,3.6,0.43,1.059,3.254
classification,finance,en,local,consumer_gpu,medium,0,low,precise,Llama-3-70B,-0.942,0.969,2.933,5.19,3.632
reasoning,technical,pt,local,pro_gpu,medium,0,medium,factual,Llama-3-70B,1.238,0.07,0.369,3.233,2.884
reasoning,general,en,cloud,edge,high,1,low,factual,Claude-2,2.069,1.17,3.084,0.321,2.877
generation,ecommerce,pt,cloud,edge,high,0,high,factual,Deepseek,0.065,2.957,-0.541,0.109,4.669
reasoning,general,en,local,consumer_gpu,medium,1,medium,creative,Deepseek,1.803,-1.092,1.151,2.721,3.911
extraction,general,pt,local,consumer_gpu,low,1,low,creative,Deepseek,-0.739,0.357,-1.369,4.911,5.493
reasoning,technical,en,cloud,pro_gpu,high,1,high,precise,Claude-2,2.681,1.784,3.584,1.176,1.0
generation,legal,pt,cloud,pro_gpu,high,1,high,creative,Deepseek,1.779,4.308,0.882,1.408,4.371
reasoning,ecommerce,pt,cloud,cpu,low,1,medium,factual,Claude-2,2.035,1.739,2.615,0.866,1.061
extraction,technical,en,cloud,pro_gpu,high,1,high,factual,Llama-3-70B,0.808,1.429,1.383,3.083,2.957
generation,general,pt,cloud,cpu,low,0,low,formal,Gemini,-0.224,3.338,-0.247,1.432,3.286
reasoning,technical,pt,local,consumer_gpu,high,0,low,precise,Deepseek,0.763,-0.088,0.082,2.813,2.964
reasoning,legal,en,cloud,cpu,low,1,medium,factual,Claude-2,1.517,3.317,5.469,1.87,1.62
classification,finance,multi,cloud,consumer_gpu,medium,0,medium,creative,Claude-2,1.602,2.715,4.599,3.915,0.936
classification,technical,multi,cloud,consumer_gpu,medium,1,low,factual,Claude-2,1.529,1.722,4.153,3.289,-0.31
reasoning,finance,multi,cloud,consumer_gpu,high,1,low,creative,Claude-2,4.034,2.989,4.9,1.624,1.148
extraction,general,en,cloud,consumer_gpu,medium,1,medium,creative,Deepseek,1.572,1.043,0.939,2.956,3.853
reasoning,ecommerce,multi,cloud,consumer_gpu,low,0,medium,formal,Claude-2,2.292,2.389,3.636,0.38,-0.926
reasoning,medical,en,cloud,cpu,high,1,high,factual,Claude-2,2.317,2.38,4.389,2.382,2.254
summarization,medical,multi,local,edge,high,1,medium,formal,Deepseek,0.279,1.668,-0.325,2.307,3.484
extraction,legal,en,local,cpu,medium,0,low,formal,Deepseek,-1.86,-0.501,-0.228,6.192,6.431
summarization,ecommerce,en,cloud,consumer_gpu,medium,1,low,formal,Gemini,3.086,3.644,1.121,1.344,1.458
extraction,general,pt,cloud,consumer_gpu,high,0,low,creative,Deepseek,1.586,1.17,-0.746,3.29,3.703
classification,medical,en,cloud,cpu,high,0,medium,precise,Claude-2,0.081,2.34,4.562,4.183,2.15
generation,medical,pt,local,consumer_gpu,low,0,high,creative,Deepseek,-0.844,3.265,0.364,2.887,5.866
reasoning,finance,pt,hybrid,pro_gpu,high,0,high,creative,GPT-4o,3.742,2.303,2.999,2.457,2.962
extraction,general,pt,local,pro_gpu,medium,0,high,precise,Llama-3-70B,-0.761,-0.096,-1.616,4.908,4.784
reasoning,ecommerce,en,local,cpu,high,1,medium,formal,Deepseek,0.077,-1.761,0.309,3.366,3.798
classification,legal,en,hybrid,pro_gpu,low,0,medium,precise,Claude-2,0.532,4.144,6.458,3.884,2.062
generation,ecommerce,pt,cloud,consumer_gpu,medium,1,high,formal,Gemini,0.957,3.187,-0.173,1.262,2.782
summarization,ecommerce,en,local,cpu,medium,1,medium,factual,Llama-3-70B,0.149,0.831,-1.002,3.937,3.632
extraction,technical,en,hybrid,consumer_gpu,low,0,low,precise,Deepseek,0.514,2.296,2.988,3.198,3.311
generation,finance,pt,cloud,consumer_gpu,low,0,high,creative,Gemini,1.138,5.729,1.432,0.997,3.679
extraction,medical,en,cloud,consumer_gpu,high,1,high,precise,Llama-3-70B,0.909,3.545,3.023,3.654,3.571
generation,general,en,hybrid,consumer_gpu,low,1,medium,formal,Gemini,0.752,3.867,1.853,1.519,3.385
extraction,ecommerce,multi,local,consumer_gpu,high,1,low,precise,Llama-3-70B,-1.009,-0.108,0.077,5.468,3.664
classification,general,multi,cloud,pro_gpu,high,0,high,precise,Claude-2,0.417,1.805,3.456,2.597,-1.066
summarization,general,multi,cloud,consumer_gpu,high,0,low,creative,GPT-4o,3.863,3.026,0.955,1.278,0.327
extraction,ecommerce,en,cloud,pro_gpu,high,1,high,creative,Deepseek,2.023,0.721,0.993,2.677,3.654
classification,medical,en,local,consumer_gpu,low,0,medium,precise,Llama-3-70B,-1.55,2.325,4.209,5.125,3.141
extraction,technical,pt,cloud,edge,high,0,medium,precise,Deepseek,0.431,0.637,-0.988,2.049,4.34
generation,technical,multi,cloud,cpu,medium,0,low,precise,Gemini,0.496,2.843,0.787,1.706,2.444
extraction,ecommerce,pt,local,consumer_gpu,low,0,high,factual,Deepseek,-1.532,0.572,-0.467,4.329,4.507
reasoning,general,pt,cloud,pro_gpu,medium,0,medium,creative,GPT-4o,3.83,0.674,1.596,0.789,1.865
generation,technical,multi,cloud,consumer_gpu,medium,1,high,factual,Gemini,0.807,3.839,1.921,1.172,1.55
reasoning,finance,multi,hybrid,consumer_gpu,medium,0,low,formal,Claude-2,2.954,2.385,4.794,2.16,0.593
reasoning,technical,en,cloud,pro_gpu,high,0,high,formal,GPT-4o,3.133,0.841,2.81,0.711,0.903
reasoning,finance,pt,local,edge,medium,0,high,factual,Deepseek,-0.017,0.249,0.89,2.605,4.962
classification,general,en,cloud,cpu,low,0,medium,precise,Claude-2,-0.34,2.002,4.155,3.325,1.206
generation,medical,en,cloud,pro_gpu,low,1,low,precise,Gemini,0.601,6.211,4.633,1.416,3.415
generation,legal,pt,local,consumer_gpu,low,1,low,creative,Deepseek,-0.526,4.081,0.203,3.491,5.992
reasoning,finance,multi,cloud,consumer_gpu,medium,1,medium,formal,Claude-2,2.878,2.619,4.582,1.571,0.016
summarization,ecommerce,multi,cloud,consumer_gpu,medium,0,high,precise,Gemini,2.992,4.178,1.937,1.145,-0.478
classification,ecommerce,multi,local,consumer_gpu,medium,1,high,creative,Llama-3-70B,-0.099,-0.896,1.005,4.939,2.184
reasoning,technical,en,local,pro_gpu,high,0,high,precise,Llama-3-70B,0.366,-0.258,1.602,3.319,3.004
extraction,technical,pt,local,cpu,high,0,high,formal,Llama-3-70B,-2.038,-1.81,-3.509,5.895,5.858
reasoning,ecommerce,pt,cloud,edge,low,0,medium,formal,Deepseek,1.692,0.842,1.507,-0.773,2.14
summarization,technical,multi,cloud,pro_gpu,high,1,medium,creative,GPT-4o,3.804,3.099,1.0,1.083,0.521
reasoning,general,en,cloud,consumer_gpu,high,1,medium,precise,Claude-2,2.943,1.728,3.483,0.826,1.02
classification,general,pt,cloud,consumer_gpu,low,1,low,formal,Claude-2,1.021,2.249,2.753,2.719,0.693
generation,finance,multi,cloud,consumer_gpu,medium,0,low,creative,Gemini,1.759,4.201,2.756,1.367,2.844
generation,finance,pt,cloud,consumer_gpu,medium,1,medium,creative,Gemini,1.446,4.634,1.134,1.577,4.001
classification,legal,pt,local,consumer_gpu,medium,1,low,precise,Llama-3-70B,-0.65,1.263,1.949,6.006,3.959
classification,medical,en,cloud,cpu,low,1,high,formal,Claude-2,-0.297,2.505,4.829,3.804,1.336
classification,medical,multi,hybrid,consumer_gpu,low,0,medium,factual,Claude-2,0.657,4.195,6.44,3.581,-0.335
reasoning,general,multi,cloud,pro_gpu,low,1,high,formal,Claude-2,2.556,2.058,3.662,0.304,-0.449
summarization,ecommerce,en,hybrid,consumer_gpu,low,0,medium,precise,Gemini,2.439,4.846,2.57,0.882,1.266
summarization,general,pt,hybrid,consumer_gpu,high,1,high,factual,Gemini,2.947,3.62,0.177,1.853,1.77
generation,technical,pt,cloud,consumer_gpu,low,0,high,creative,Gemini,0.947,4.097,0.11,0.09,3.348
generation,general,en,local,pro_gpu,high,1,medium,formal,Deepseek,-0.899,0.989,-1.279,2.858,4.947
extraction,ecommerce,en,hybrid,edge,high,1,high,factual,Deepseek,-0.319,0.552,0.83,3.085,5.216
generation,legal,multi,hybrid,consumer_gpu,medium,1,low,formal,Gemini,1.451,4.417,2.932,2.439,3.161
classification,ecommerce,en,cloud,cpu,low,1,high,factual,Claude-2,-0.35,2.164,3.725,3.426,1.244
reasoning,ecommerce,pt,local,consumer_gpu,low,0,high,factual,Llama-3-70B,0.468,0.663,1.031,2.497,2.487
classification,medical,en,local,consumer_gpu,low,0,low,factual,Llama-3-70B,-1.452,2.217,4.36,5.185,2.79
generation,legal,en,cloud,pro_gpu,medium,1,low,creative,Gemini,2.174,4.563,2.918,1.924,4.118
extraction,technical,en,local,cpu,medium,1,low,precise,Llama-3-70B,-1.481,-0.894,-0.952,6.37,5.969
reasoning,technical,multi,local,cpu,high,1,low,precise,Llama-3-70B,0.339,-0.785,1.337,4.072,2.833
extraction,ecommerce,en,cloud,cpu,high,0,low,formal,Deepseek,0.306,-0.236,0.094,3.688,3.896
classification,legal,en,hybrid,pro_gpu,high,1,low,creative,Claude-2,1.475,3.31,4.906,4.63,3.536
extraction,ecommerce,en,local,pro_gpu,low,1,high,creative,Deepseek,-0.331,0.174,0.19,4.526,5.172
generation,finance,en,cloud,consumer_gpu,medium,1,medium,creative,Gemini,1.605,4.335,2.363,1.23,4.185
summarization,general,en,hybrid,consumer_gpu,medium,0,medium,formal,Gemini,2.663,3.038,0.993,1.829,1.696
generation,general,multi,local,edge,low,1,low,formal,Deepseek,-1.585,1.572,-0.949,1.847,4.678
summarization,legal,en,cloud,consumer_gpu,low,0,medium,factual,Gemini,2.297,5.932,4.286,0.864,1.194
classification,ecommerce,multi,hybrid,pro_gpu,low,0,medium,formal,Claude-2,0.699,2.275,3.83,3.395,-0.074
generation,general,en,cloud,cpu,low,1,low,factual,Gemini,-0.095,4.046,2.522,1.645,3.727
extraction,general,pt,hybrid,edge,medium,1,high,creative,Deepseek,0.536,-0.244,-1.614,2.775,5.787
summarization,general,en,cloud,consumer_gpu,medium,0,low,creative,GPT-4o,3.698,2.662,0.776,1.134,1.821
extraction,general,en,local,consumer_gpu,high,1,low,creative,Deepseek,-0.078,-0.904,-0.905,5.225,6.129
reasoning,finance,en,local,pro_gpu,high,0,medium,creative,Deepseek,1.886,0.401,2.269,3.554,4.035
reasoning,ecommerce,en,cloud,cpu,low,0,high,formal,Claude-2,1.596,1.465,3.365,1.332,1.046
